Runs,Mins,Ball Faced,4s,6s,Strike Rate,Possition,Dismissal,Innings, Against Match,Venue,Date,Match 
0,7,5,0,0,0.00,3,caught,2,South Africa,Durban,2013-12-08,ODI
96,254,193,9,0,49.74,4,caught,3,South Africa,Johannesburg,2013-12-18,Test
119,257,181,18,0,65.74,4,caught,1,South Africa,Johannesburg,2013-12-18,Test
11,26,27,1,0,40.74,4,caught,3,South Africa,Durban,2013-12-26,Test
46,114,87,5,0,52.87,4,caught,1,South Africa,Durban,2013-12-26,Test
123,179,111,11,2,110.81,3,caught,2,New Zealand,Napier,2014-01-19,ODI
78,88,65,7,2,120.00,3,caught,2,New Zealand,Hamilton,2014-01-22,ODI
6,27,20,1,0,30.00,3,caught,2,New Zealand,Auckland,2014-01-25,ODI
2,14,10,0,0,20.00,2,caught,1,New Zealand,Hamilton,2014-01-28,ODI
82,129,78,7,3,105.12,3,caught,2,New Zealand,Wellington,2014-01-31,ODI
67,131,102,12,0,65.68,4,caught,4,New Zealand,Auckland,2014-02-06,Test
4,17,13,1,0,30.76,4,caught,2,New Zealand,Auckland,2014-02-06,Test
105,195,135,15,1,77.77,4,not out,4,New Zealand,Wellington,2014-02-14,Test
38,131,93,4,0,40.86,5,caught,2,New Zealand,Wellington,2014-02-14,Test
136,157,122,16,2,111.47,3,bowled,2,Bangladesh,Fatullah,2014-02-26,ODI
48,66,51,4,1,94.11,3,bowled,1,Sri Lanka,Fatullah,2014-02-28,ODI
5,29,11,0,0,45.45,3,caught,1,Pakistan,Mirpur,2014-03-02,ODI
36,45,32,4,1,112.50,3,not out,2,Pakistan,Mirpur,2014-03-21,T20
54,51,41,5,1,131.70,3,bowled,2,West Indies,Mirpur,2014-03-23,T20
57,66,50,3,1,114.00,3,not out,2,Bangladesh,Mirpur,2014-03-28,T20
23,23,22,2,1,104.54,3,caught,1,Australia,Mirpur,2014-03-30,T20
72,67,44,5,2,163.63,3,not out,2,South Africa,Mirpur,2014-04-04,T20
77,75,58,5,4,132.75,3,run out,1,Sri Lanka,Mirpur,2014-04-06,T20
8,39,29,1,0,27.58,4,lbw,3,England,Nottingham,2014-07-09,Test
1,6,8,0,0,12.50,4,caught,1,England,Nottingham,2014-07-09,Test
0,1,1,0,0,0.00,4,bowled,3,England,Lord's,2014-07-17,Test
25,39,34,4,0,73.52,4,caught,1,England,Lord's,2014-07-17,Test
28,77,56,3,0,50.00,4,caught,4,England,Southampton,2014-07-27,Test
39,119,75,3,0,52.00,4,caught,2,England,Southampton,2014-07-27,Test
7,15,11,1,0,63.63,4,caught,3,England,Manchester,2014-08-07,Test
0,3,2,0,0,0.00,4,caught,1,England,Manchester,2014-08-07,Test
20,80,54,2,0,37.03,4,caught,3,England,The Oval,2014-08-15,Test
6,34,18,1,0,33.33,4,lbw,1,England,The Oval,2014-08-15,Test
0,1,3,0,0,0.00,3,caught,1,England,Cardiff,2014-08-27,ODI
40,67,50,2,1,80.00,3,caught,2,England,Nottingham,2014-08-30,ODI
1,9,3,0,0,33.33,3,not out,2,England,Birmingham,2014-09-02,ODI
13,25,21,2,0,61.90,3,caught,2,England,Leeds,2014-09-05,ODI
66,54,41,9,1,160.97,3,caught,2,England,Birmingham,2014-09-07,T20
2,7,5,0,0,40.00,3,caught,2,West Indies,Kochi,2014-10-08,ODI
62,124,78,5,0,79.48,4,caught,1,West Indies,Delhi,2014-10-11,ODI
127,164,114,13,3,111.40,3,run out,1,West Indies,Dharamsala,2014-10-17,ODI
22,34,21,2,0,104.76,4,caught,1,Sri Lanka,Cuttack,2014-11-02,ODI
49,55,44,2,2,111.36,4,caught,2,Sri Lanka,Ahmedabad,2014-11-06,ODI
53,83,61,4,1,86.88,4,caught,2,Sri Lanka,Hyderabad,2014-11-09,ODI
66,109,64,6,0,103.12,4,run out,1,Sri Lanka,Eden Gardens,2014-11-13,ODI
139,192,126,12,3,110.31,4,not out,2,Sri Lanka,Ranchi,2014-11-16,ODI
141,279,175,16,1,80.57,4,caught,4,Australia,Adelaide,2014-12-09,Test
115,267,184,12,0,62.50,4,caught,2,Australia,Adelaide,2014-12-09,Test
1,14,11,0,0,9.09,4,bowled,3,Australia,Brisbane,2014-12-17,Test
19,50,27,1,0,70.37,4,caught,1,Australia,Brisbane,2014-12-17,Test
54,134,99,7,0,54.54,4,caught,4,Australia,Melbourne,2014-12-26,Test
169,380,272,18,0,62.13,4,caught,2,Australia,Melbourne,2014-12-26,Test
46,123,95,3,0,48.42,4,caught,4,Australia,Sydney,2015-01-06,Test
147,315,230,20,0,63.91,4,caught,2,Australia,Sydney,2015-01-06,Test
9,24,16,0,0,56.25,4,caught,1,Australia,Melbourne,2015-01-18,ODI
4,13,8,0,0,50.00,4,caught,1,England,Brisbane,2015-01-20,ODI
3,8,9,0,0,33.33,4,not out,1,Australia,Sydney,2015-01-26,ODI
8,26,19,0,0,42.10,3,caught,1,England,Perth,2015-01-30,ODI
107,168,126,8,0,84.92,3,caught,1,Pakistan,Adelaide,2015-02-15,ODI
